part_id,date,shift,machine,fixture,operator_id,hole_pos_dev_mm,result,rework_min
B30039,2026-06-02,Day,M1,F1,OP-13,-0.16,pass,
B30040,2026-06-02,Day,M2,F3,OP-12,-0.08,pass,
B30041,2026-06-02,Swing,M1,F2,OP-23,0.01,pass,
B30042,2026-06-02,Swing,M1,F1,OP-23,-0.04,pass,
B30043,2026-06-02,Swing,M1,F1,OP-21,0.14,pass,
B30044,2026-06-02,Swing,M1,F1,OP-21,-0.11,pass,
B30045,2026-06-02,Swing,M2,F4,OP-21,-0.17,pass,
B30046,2026-06-02,Swing,M1,F2,OP-21,-0.03,pass,
B30047,2026-06-02,Swing,M2,F4,OP-23,-0.04,pass,
B30048,2026-06-02,Swing,M1,F1,OP-21,0.07,pass,
B30049,2026-06-02,Swing,M2,F4,OP-22,-0.13,pass,
B30050,2026-06-02,Swing,M2,F3,OP-21,-0.15,pass,
B30051,2026-06-02,Night,M2,F3,OP-31,-0.06,pass,
B30052,2026-06-02,Night,M2,F3,OP-32,0.1,pass,
B30053,2026-06-02,Night,M1,F1,OP-33,-0.21,pass,
B30054,2026-06-02,Night,M1,F2,OP-32,-0.23,pass,
B30055,2026-06-02,Night,M2,F3,OP-31,0.05,pass,
B30056,2026-06-02,Night,M1,F1,OP-31,0.0,pass,
B30057,2026-06-02,Night,M2,F4,OP-32,-0.08,pass,
B30058,2026-06-02,Night,M2,F4,OP-32,-0.3,fail,29
B30059,2026-06-02,Night,M2,F4,OP-33,-0.06,pass,
B30060,2026-06-02,Night,M1,F2,OP-31,0.29,fail,29
B30061,2026-06-03,Day,M1,F2,OP-12,0.17,pass,
B30062,2026-06-03,Day,M2,F4,OP-12,0.08,pass,
B30063,2026-06-03,Day,M2,F3,OP-11,0.15,pass,
B30064,2026-06-03,Day,M2,F3,OP-13,0.05,pass,
B30065,2026-06-03,Day,M2,F3,OP-12,-0.02,pass,
B30066,2026-06-03,Day,M2,F3,OP-12,0.01,pass,
B30067,2026-06-03,Day,M1,F1,OP-12,0.06,pass,
B30068,2026-06-03,Day,M2,F4,OP-13,-0.07,pass,
B30069,2026-06-03,Day,M2,F3,OP-12,-0.0,pass,
B30070,2026-06-03,Day,M2,F3,OP-13,0.11,pass,
B30071,2026-06-03,Swing,M2,F4,OP-21,-0.01,pass,
B30072,2026-06-03,Swing,M1,F1,OP-21,-0.1,pass,
B30073,2026-06-03,Swing,M2,F4,OP-23,0.14,pass,
B30074,2026-06-03,Swing,M2,F4,OP-21,-0.24,pass,
B30075,2026-06-03,Swing,M1,F2,OP-22,-0.13,pass,
B30076,2026-06-03,Swing,M2,F4,OP-21,-0.04,pass,
B30077,2026-06-03,Swing,M1,F2,OP-23,0.0,pass,
B30078,2026-06-03,Swing,M2,F3,OP-23,0.02,pass,
B30079,2026-06-03,Swing,M1,F1,OP-21,0.08,pass,
B30080,2026-06-03,Swing,M2,F4,OP-21,-0.04,pass,
B30081,2026-06-03,Night,M1,F2,OP-33,-0.05,pass,
B30082,2026-06-03,Night,M1,F2,OP-32,-0.23,pass,
B30083,2026-06-03,Night,M2,F3,OP-32,0.27,fail,31
B30084,2026-06-03,Night,M1,F2,OP-31,-0.06,pass,
B30085,2026-06-03,Night,M1,F1,OP-31,0.32,fail,16
B30086,2026-06-03,Night,M1,F2,OP-32,0.14,pass,
B30087,2026-06-03,Night,M1,F2,OP-31,0.19,pass,
B30088,2026-06-03,Night,M2,F3,OP-31,-0.01,pass,
B30089,2026-06-03,Night,M2,F3,OP-31,-0.13,pass,
B30090,2026-06-03,Night,M2,F3,OP-31,0.08,pass,
B30091,2026-06-04,Day,M1,F2,OP-11,0.0,pass,
B30092,2026-06-04,Day,M1,F1,OP-11,-0.06,pass,
B30093,2026-06-04,Day,M1,F1,OP-12,0.11,pass,
B30094,2026-06-04,Day,M1,F1,OP-12,-0.02,pass,
B30095,2026-06-04,Day,M1,F1,OP-12,-0.03,pass,
B30096,2026-06-04,Day,M2,F3,OP-12,-0.08,pass,
B30097,2026-06-04,Day,M1,F2,OP-12,0.05,pass,
B30098,2026-06-04,Day,M1,F1,OP-12,-0.06,pass,
B30099,2026-06-04,Day,M1,F1,OP-11,0.13,pass,
B30100,2026-06-04,Day,M1,F1,OP-11,0.11,pass,
B30101,2026-06-04,Swing,M1,F1,OP-21,-0.09,pass,
B30102,2026-06-04,Swing,M2,F3,OP-23,-0.06,pass,
B30103,2026-06-04,Swing,M2,F4,OP-22,0.02,pass,
B30104,2026-06-04,Swing,M2,F3,OP-21,0.03,pass,
B30105,2026-06-04,Swing,M1,F1,OP-22,0.1,pass,
B30106,2026-06-04,Swing,M1,F1,OP-23,-0.09,pass,
B30107,2026-06-04,Swing,M1,F2,OP-22,0.02,pass,
B30108,2026-06-04,Swing,M2,F3,OP-22,-0.09,pass,
B30109,2026-06-04,Swing,M2,F4,OP-21,-0.05,pass,
B30110,2026-06-04,Swing,M2,F4,OP-21,0.11,pass,
B30111,2026-06-04,Night,M2,F3,OP-33,-0.17,pass,
B30112,2026-06-04,Night,M1,F1,OP-31,0.06,pass,
B30113,2026-06-04,Night,M1,F2,OP-31,0.06,pass,
B30114,2026-06-04,Night,M2,F4,OP-33,-0.09,pass,
B30115,2026-06-04,Night,M1,F1,OP-32,0.04,pass,
B30116,2026-06-04,Night,M2,F4,OP-31,-0.38,fail,15
B30117,2026-06-04,Night,M2,F3,OP-32,0.06,pass,
B30118,2026-06-04,Night,M1,F1,OP-33,0.4,fail,10
B30119,2026-06-04,Night,M2,F3,OP-31,0.16,pass,
B30120,2026-06-04,Night,M2,F4,OP-33,0.21,pass,
B30121,2026-06-05,Day,M2,F3,OP-11,0.13,pass,
B30122,2026-06-05,Day,M1,F1,OP-13,-0.0,pass,
B30123,2026-06-05,Day,M2,F4,OP-11,-0.0,pass,
B30124,2026-06-05,Day,M2,F4,OP-13,-0.03,pass,
B30125,2026-06-05,Day,M2,F4,OP-13,-0.02,pass,
B30126,2026-06-05,Day,M2,F3,OP-11,0.13,pass,
B30127,2026-06-05,Day,M1,F1,OP-12,-0.03,pass,
B30128,2026-06-05,Day,M2,F4,OP-12,0.06,pass,
B30129,2026-06-05,Day,M1,F1,OP-12,-0.14,pass,
B30130,2026-06-05,Day,M1,F2,OP-11,0.06,pass,
B30131,2026-06-05,Swing,M1,F2,OP-22,-0.03,pass,
B30132,2026-06-05,Swing,M2,F3,OP-21,-0.04,pass,
B30133,2026-06-05,Swing,M1,F1,OP-21,0.06,pass,
B30134,2026-06-05,Swing,M2,F4,OP-21,-0.1,pass,
B30135,2026-06-05,Swing,M1,F1,OP-23,0.06,pass,
B30136,2026-06-05,Swing,M1,F1,OP-21,0.01,pass,
B30137,2026-06-05,Swing,M2,F3,OP-21,-0.03,pass,
B30138,2026-06-05,Swing,M1,F1,OP-21,0.1,pass,
B30139,2026-06-05,Swing,M1,F2,OP-22,0.09,pass,
B30140,2026-06-05,Swing,M2,F4,OP-22,0.02,pass,
B30141,2026-06-05,Night,M2,F3,OP-31,0.02,pass,
B30142,2026-06-05,Night,M2,F3,OP-33,-0.09,pass,
B30143,2026-06-05,Night,M1,F2,OP-33,0.06,pass,
B30144,2026-06-05,Night,M2,F3,OP-32,-0.08,pass,
B30145,2026-06-05,Night,M2,F4,OP-33,0.02,pass,
B30146,2026-06-05,Night,M1,F2,OP-33,-0.17,pass,
B30147,2026-06-05,Night,M1,F2,OP-33,-0.19,pass,
B30148,2026-06-05,Night,M1,F2,OP-33,-0.01,pass,
B30149,2026-06-05,Night,M2,F4,OP-32,0.26,fail,11
B30150,2026-06-05,Night,M1,F1,OP-33,0.06,pass,
B30151,2026-06-08,Day,M1,F2,OP-13,-0.16,pass,
B30152,2026-06-08,Day,M2,F4,OP-12,0.0,pass,
B30153,2026-06-08,Day,M1,F1,OP-11,-0.22,pass,
B30154,2026-06-08,Day,M1,F2,OP-11,-0.0,pass,
B30155,2026-06-08,Day,M1,F2,OP-12,0.03,pass,
B30156,2026-06-08,Day,M1,F2,OP-11,-0.01,pass,
B30157,2026-06-08,Day,M1,F1,OP-11,0.07,pass,
B30158,2026-06-08,Day,M1,F2,OP-12,0.08,pass,
B30159,2026-06-08,Day,M1,F2,OP-11,-0.06,pass,
B30160,2026-06-08,Day,M1,F2,OP-12,0.07,pass,
B30161,2026-06-08,Swing,M2,F4,OP-21,-0.03,pass,
B30162,2026-06-08,Swing,M2,F3,OP-23,0.02,pass,
B30163,2026-06-08,Swing,M1,F2,OP-22,-0.03,pass,
B30164,2026-06-08,Swing,M1,F2,OP-21,-0.04,pass,
B30165,2026-06-08,Swing,M1,F1,OP-22,0.14,pass,
B30166,2026-06-08,Swing,M1,F2,OP-23,-0.02,pass,
B30167,2026-06-08,Swing,M2,F4,OP-23,-0.12,pass,
B30168,2026-06-08,Swing,M1,F1,OP-23,-0.01,pass,
B30169,2026-06-08,Swing,M2,F4,OP-22,-0.02,pass,
B30170,2026-06-08,Swing,M1,F2,OP-22,-0.18,pass,
B30171,2026-06-08,Night,M2,F3,OP-33,0.11,pass,
B30172,2026-06-08,Night,M1,F1,OP-31,-0.16,pass,
B30173,2026-06-08,Night,M2,F4,OP-33,-0.02,pass,
B30174,2026-06-08,Night,M2,F3,OP-31,0.26,fail,19
B30175,2026-06-08,Night,M1,F1,OP-33,-0.01,pass,
B30176,2026-06-08,Night,M1,F2,OP-32,-0.04,pass,
B30177,2026-06-08,Night,M1,F2,OP-32,0.27,fail,25
B30178,2026-06-08,Night,M1,F1,OP-33,0.19,pass,
B30179,2026-06-08,Night,M1,F2,OP-33,0.28,fail,32
B30180,2026-06-08,Night,M1,F1,OP-32,0.06,pass,
B30181,2026-06-09,Day,M1,F2,OP-12,0.13,pass,
B30182,2026-06-09,Day,M2,F4,OP-11,0.11,pass,
B30183,2026-06-09,Day,M2,F3,OP-12,-0.25,pass,
B30184,2026-06-09,Day,M2,F3,OP-12,-0.05,pass,
B30185,2026-06-09,Day,M1,F2,OP-11,0.03,pass,
B30186,2026-06-09,Day,M1,F1,OP-13,0.04,pass,
B30187,2026-06-09,Day,M1,F1,OP-13,-0.11,pass,
B30188,2026-06-09,Day,M1,F1,OP-11,0.09,pass,
B30189,2026-06-09,Day,M1,F1,OP-13,-0.08,pass,
B30190,2026-06-09,Day,M1,F2,OP-12,0.1,pass,
B30191,2026-06-09,Swing,M2,F3,OP-22,0.01,pass,
B30192,2026-06-09,Swing,M2,F3,OP-23,0.07,pass,
B30193,2026-06-09,Swing,M2,F3,OP-21,0.04,pass,
B30194,2026-06-09,Swing,M1,F1,OP-23,-0.04,pass,
B30195,2026-06-09,Swing,M2,F3,OP-21,0.13,pass,
B30196,2026-06-09,Swing,M1,F1,OP-23,-0.03,pass,
B30197,2026-06-09,Swing,M1,F1,OP-22,0.15,pass,
B30198,2026-06-09,Swing,M2,F4,OP-23,-0.03,pass,
B30199,2026-06-09,Swing,M2,F3,OP-21,0.08,pass,
B30200,2026-06-09,Swing,M2,F4,OP-23,0.06,pass,
B30201,2026-06-09,Night,M1,F2,OP-33,0.01,pass,
B30202,2026-06-09,Night,M2,F3,OP-32,0.16,pass,
B30203,2026-06-09,Night,M2,F4,OP-33,-0.12,pass,
B30204,2026-06-09,Night,M1,F1,OP-31,0.27,fail,18
B30205,2026-06-09,Night,M1,F2,OP-31,0.08,pass,
B30206,2026-06-09,Night,M2,F3,OP-31,-0.11,pass,
B30207,2026-06-09,Night,M1,F1,OP-32,-0.2,pass,
B30208,2026-06-09,Night,M2,F4,OP-32,0.23,pass,
B30209,2026-06-09,Night,M2,F3,OP-32,-0.01,pass,
B30210,2026-06-09,Night,M2,F3,OP-31,0.28,fail,21
B30211,2026-06-10,Day,M2,F4,OP-12,0.09,pass,
B30212,2026-06-10,Day,M1,F2,OP-11,-0.1,pass,
B30213,2026-06-10,Day,M1,F1,OP-12,0.16,pass,
B30214,2026-06-10,Day,M1,F1,OP-12,-0.09,pass,
B30215,2026-06-10,Day,M1,F2,OP-13,0.0,pass,
B30216,2026-06-10,Day,M2,F4,OP-11,-0.09,pass,
B30217,2026-06-10,Day,M1,F2,OP-12,0.04,pass,
B30218,2026-06-10,Day,M2,F4,OP-13,-0.06,pass,
B30219,2026-06-10,Day,M2,F4,OP-13,-0.02,pass,
B30220,2026-06-10,Day,M1,F1,OP-13,0.02,pass,
B30221,2026-06-10,Swing,M1,F1,OP-21,0.0,pass,
B30222,2026-06-10,Swing,M1,F1,OP-22,-0.14,pass,
B30223,2026-06-10,Swing,M1,F1,OP-21,0.02,pass,
B30224,2026-06-10,Swing,M1,F2,OP-22,-0.17,pass,
B30225,2026-06-10,Swing,M1,F2,OP-23,0.03,pass,
B30226,2026-06-10,Swing,M1,F1,OP-23,0.08,pass,
B30227,2026-06-10,Swing,M2,F3,OP-22,0.07,pass,
B30228,2026-06-10,Swing,M2,F3,OP-21,-0.05,pass,
B30229,2026-06-10,Swing,M1,F2,OP-21,-0.03,pass,
B30230,2026-06-10,Swing,M1,F2,OP-21,0.11,pass,
B30231,2026-06-10,Night,M1,F2,OP-33,-0.09,pass,
B30232,2026-06-10,Night,M1,F1,OP-33,0.22,pass,
B30233,2026-06-10,Night,M2,F3,OP-32,-0.13,pass,
B30234,2026-06-10,Night,M2,F4,OP-33,-0.09,pass,
B30235,2026-06-10,Night,M1,F1,OP-33,-0.09,pass,
B30236,2026-06-10,Night,M2,F4,OP-32,0.0,pass,
B30237,2026-06-10,Night,M2,F3,OP-32,-0.07,pass,
B30238,2026-06-10,Night,M1,F2,OP-31,0.23,pass,
B30239,2026-06-10,Night,M2,F4,OP-31,-0.09,pass,
B30240,2026-06-10,Night,M2,F3,OP-33,-0.02,pass,
B30241,2026-06-11,Day,M1,F1,OP-13,0.01,pass,
B30242,2026-06-11,Day,M1,F1,OP-13,-0.14,pass,
B30243,2026-06-11,Day,M1,F1,OP-12,0.09,pass,
B30244,2026-06-11,Day,M1,F1,OP-12,-0.12,pass,
B30245,2026-06-11,Day,M1,F1,OP-11,0.08,pass,
B30246,2026-06-11,Day,M1,F1,OP-12,0.03,pass,
B30247,2026-06-11,Day,M2,F4,OP-13,-0.03,pass,
B30248,2026-06-11,Day,M2,F4,OP-13,-0.05,pass,
B30249,2026-06-11,Day,M2,F4,OP-13,0.08,pass,
B30250,2026-06-11,Day,M2,F3,OP-13,0.09,pass,
B30251,2026-06-11,Swing,M1,F2,OP-22,-0.01,pass,
B30252,2026-06-11,Swing,M2,F3,OP-22,0.11,pass,
B30253,2026-06-11,Swing,M1,F1,OP-21,0.09,pass,
B30254,2026-06-11,Swing,M1,F2,OP-23,0.05,pass,
B30255,2026-06-11,Swing,M2,F3,OP-22,-0.0,pass,
B30256,2026-06-11,Swing,M2,F4,OP-23,-0.11,pass,
B30257,2026-06-11,Swing,M1,F1,OP-21,-0.0,pass,
B30258,2026-06-11,Swing,M2,F3,OP-23,-0.03,pass,
B30259,2026-06-11,Swing,M1,F1,OP-22,-0.11,pass,
B30260,2026-06-11,Swing,M2,F3,OP-22,-0.0,pass,
B30261,2026-06-11,Night,M2,F4,OP-33,-0.11,pass,
B30262,2026-06-11,Night,M1,F1,OP-32,0.05,pass,
B30263,2026-06-11,Night,M2,F3,OP-31,0.14,pass,
B30264,2026-06-11,Night,M1,F2,OP-32,-0.01,pass,
B30265,2026-06-11,Night,M2,F3,OP-31,-0.09,pass,
B30266,2026-06-11,Night,M2,F4,OP-33,-0.31,fail,17
B30267,2026-06-11,Night,M2,F4,OP-32,-0.03,pass,
B30268,2026-06-11,Night,M1,F1,OP-32,0.07,pass,
B30269,2026-06-11,Night,M1,F1,OP-32,0.25,pass,
B30270,2026-06-11,Night,M1,F1,OP-31,-0.01,pass,
B30271,2026-06-12,Day,M2,F3,OP-11,0.04,pass,
B30272,2026-06-12,Day,M2,F3,OP-11,0.08,pass,
B30273,2026-06-12,Day,M2,F3,OP-11,-0.0,pass,
B30274,2026-06-12,Day,M1,F2,OP-11,-0.15,pass,
B30275,2026-06-12,Day,M1,F1,OP-13,0.18,pass,
B30276,2026-06-12,Day,M2,F4,OP-13,0.01,pass,
B30277,2026-06-12,Day,M1,F1,OP-13,-0.06,pass,
B30278,2026-06-12,Day,M1,F2,OP-11,0.14,pass,
B30279,2026-06-12,Day,M2,F3,OP-13,0.24,pass,
B30280,2026-06-12,Day,M2,F3,OP-11,-0.07,pass,
B30281,2026-06-12,Swing,M1,F1,OP-23,0.17,pass,
B30282,2026-06-12,Swing,M1,F2,OP-21,0.08,pass,
B30283,2026-06-12,Swing,M2,F4,OP-23,-0.05,pass,
B30284,2026-06-12,Swing,M2,F4,OP-23,0.05,pass,
B30285,2026-06-12,Swing,M1,F1,OP-23,-0.09,pass,
B30286,2026-06-12,Swing,M2,F4,OP-21,0.03,pass,
B30287,2026-06-12,Swing,M2,F3,OP-23,0.13,pass,
B30288,2026-06-12,Swing,M1,F1,OP-23,-0.08,pass,
B30289,2026-06-12,Swing,M1,F2,OP-23,0.11,pass,
B30290,2026-06-12,Swing,M2,F3,OP-22,-0.08,pass,
B30291,2026-06-12,Night,M2,F3,OP-33,-0.09,pass,
B30292,2026-06-12,Night,M2,F4,OP-32,0.01,pass,
B30293,2026-06-12,Night,M1,F2,OP-32,-0.18,pass,
B30294,2026-06-12,Night,M2,F4,OP-33,-0.21,pass,
B30295,2026-06-12,Night,M1,F1,OP-32,0.07,pass,
B30296,2026-06-12,Night,M2,F3,OP-33,0.11,pass,
B30297,2026-06-12,Night,M1,F2,OP-31,-0.22,pass,
B30298,2026-06-12,Night,M2,F3,OP-31,-0.2,pass,
B30299,2026-06-12,Night,M2,F4,OP-31,0.18,pass,
B30300,2026-06-12,Night,M2,F4,OP-31,0.18,pass,
