invoice_id,date,entry_channel,clerk_code,vendor_group,entry_minutes,corrected,days_to_pay
INV100034,2026-01-07,Email-PDF,C05,MRO,12.3,No,30
INV100035,2026-01-07,Paper-scan,C02,Raw materials,9.8,No,24
INV100036,2026-01-07,Portal,C09,Services,11.0,No,38
INV100037,2026-01-07,Email-PDF,C01,Freight,11.8,No,15
INV100038,2026-01-07,Paper-scan,C02,Raw materials,10.0,No,32
INV100039,2026-01-08,Portal,C02,Services,5.1,No,37
INV100040,2026-01-08,EDI,C03,Raw materials,2.7,No,28
INV100041,2026-01-08,Portal,C11,Raw materials,5.0,No,29
INV100042,2026-01-08,Email-PDF,C03,Services,13.5,No,39
INV100043,2026-01-08,EDI,C03,Raw materials,1.6,No,19
INV100044,2026-01-08,Email-PDF,C01,Services,7.1,No,42
INV100045,2026-01-08,Email-PDF,C08,MRO,7.5,No,31
INV100046,2026-01-08,Paper-scan,C01,Raw materials,9.9,No,25
INV100047,2026-01-08,Portal,C05,Utilities,3.2,No,22
INV100048,2026-01-08,Portal,C06,Raw materials,3.1,No,20
INV100049,2026-01-08,Email-PDF,C01,MRO,7.1,No,28
INV100050,2026-01-08,Portal,C09,Utilities,5.8,No,38
INV100051,2026-01-08,Paper-scan,C08,Services,8.6,No,46
INV100052,2026-01-08,EDI,C07,Raw materials,1.5,No,33
INV100053,2026-01-08,EDI,C09,MRO,1.7,No,33
INV100054,2026-01-08,Email-PDF,C06,Raw materials,8.4,Yes,40
INV100055,2026-01-09,Email-PDF,C06,Utilities,9.1,No,23
INV100056,2026-01-09,EDI,C07,Services,6.1,No,43
INV100057,2026-01-09,Paper-scan,C09,MRO,17.9,No,25
INV100058,2026-01-09,Email-PDF,C01,MRO,5.5,No,31
INV100059,2026-01-09,EDI,C02,Freight,2.1,No,24
INV100060,2026-01-09,EDI,C11,Services,3.8,Yes,43
INV100061,2026-01-09,EDI,C05,Services,3.0,No,31
INV100062,2026-01-09,Paper-scan,C05,MRO,9.9,No,30
INV100063,2026-01-09,Paper-scan,C03,Services,11.8,Yes,56
INV100064,2026-01-09,Email-PDF,C08,MRO,8.8,No,25
INV100065,2026-01-09,EDI,C12,Freight,3.6,No,28
INV100066,2026-01-09,Email-PDF,C07,MRO,6.1,No,34
INV100067,2026-01-09,Portal,C04,Freight,7.8,No,27
INV100068,2026-01-09,Portal,C02,Services,7.2,No,43
INV100069,2026-01-09,Email-PDF,C12,MRO,9.8,No,29
INV100070,2026-01-09,EDI,C06,MRO,1.6,No,32
INV100071,2026-01-09,Paper-scan,C10,Raw materials,8.4,No,24
INV100072,2026-01-09,EDI,C10,Raw materials,1.9,No,27
INV100073,2026-01-09,Paper-scan,C04,MRO,9.6,No,27
INV100074,2026-01-09,Email-PDF,C10,MRO,7.3,No,37
INV100075,2026-01-12,Paper-scan,C06,Raw materials,6.6,No,25
INV100076,2026-01-12,Paper-scan,C03,MRO,10.2,No,32
INV100077,2026-01-12,EDI,C09,Freight,4.0,No,25
INV100078,2026-01-12,Portal,C03,Services,5.5,Yes,41
INV100079,2026-01-12,Paper-scan,C12,MRO,10.6,No,23
INV100080,2026-01-12,EDI,C10,Raw materials,3.2,No,29
INV100081,2026-01-12,Portal,C03,MRO,4.1,No,29
INV100082,2026-01-12,Email-PDF,C11,Raw materials,6.7,No,17
INV100083,2026-01-12,EDI,C06,Services,4.2,No,30
INV100084,2026-01-12,Portal,C08,MRO,5.5,No,27
INV100085,2026-01-12,Portal,C11,MRO,4.6,No,23
INV100086,2026-01-12,Paper-scan,C02,Utilities,8.5,No,27
INV100087,2026-01-12,Portal,C08,Freight,9.4,No,23
INV100088,2026-01-12,Portal,C07,Raw materials,6.3,No,29
INV100089,2026-01-12,Paper-scan,C05,Raw materials,8.2,No,27
INV100090,2026-01-12,EDI,C04,MRO,2.4,No,26
INV100091,2026-01-12,EDI,C09,MRO,2.0,No,27
INV100092,2026-01-12,Email-PDF,C07,Services,12.1,No,47
INV100093,2026-01-12,Portal,C04,MRO,3.1,No,26
INV100094,2026-01-12,Portal,C11,Services,5.0,No,44
INV100095,2026-01-12,Email-PDF,C07,MRO,7.4,No,35
INV100096,2026-01-12,EDI,C02,MRO,2.0,No,31
INV100097,2026-01-13,Email-PDF,C05,Raw materials,11.5,No,33
INV100098,2026-01-13,Portal,C04,Freight,3.5,No,33
INV100099,2026-01-13,Portal,C07,Raw materials,4.7,No,40
INV100100,2026-01-13,Portal,C08,Raw materials,5.1,No,30
INV100101,2026-01-13,Portal,C02,Freight,4.6,No,31
INV100102,2026-01-13,Email-PDF,C10,Raw materials,8.2,No,22
INV100103,2026-01-13,Portal,C05,Services,7.6,No,42
INV100104,2026-01-13,EDI,C02,Raw materials,1.5,No,33
INV100105,2026-01-13,Email-PDF,C07,Freight,11.2,No,24
INV100106,2026-01-13,Email-PDF,C04,Utilities,9.9,No,18
INV100107,2026-01-13,Portal,C09,Services,7.7,No,43
INV100108,2026-01-13,Portal,C01,Raw materials,4.5,No,29
INV100109,2026-01-13,Paper-scan,C11,MRO,8.3,No,30
INV100110,2026-01-13,Portal,C07,Raw materials,3.9,No,29
INV100111,2026-01-13,Portal,C11,Raw materials,4.0,No,21
INV100112,2026-01-14,Portal,C06,Services,11.1,No,47
INV100113,2026-01-14,Paper-scan,C10,Services,11.8,No,34
INV100114,2026-01-14,Email-PDF,C10,MRO,4.8,No,35
INV100115,2026-01-14,Email-PDF,C12,Raw materials,8.6,No,32
INV100116,2026-01-14,Portal,C02,Raw materials,5.8,No,32
INV100117,2026-01-14,Email-PDF,C06,Services,5.3,No,42
INV100118,2026-01-14,Email-PDF,C05,MRO,7.4,No,29
INV100119,2026-01-14,Email-PDF,C04,Utilities,6.1,No,11
INV100120,2026-01-14,Email-PDF,C11,Raw materials,5.9,Yes,29
INV100121,2026-01-14,Portal,C01,Services,6.7,No,41
INV100122,2026-01-14,Email-PDF,C04,MRO,5.5,No,27
INV100123,2026-01-14,Email-PDF,C11,Freight,13.5,No,29
INV100124,2026-01-14,Paper-scan,C05,MRO,10.3,No,29
INV100125,2026-01-14,Portal,C09,Raw materials,7.4,No,30
INV100126,2026-01-14,Portal,C08,Raw materials,6.1,No,31
INV100127,2026-01-14,EDI,C09,Raw materials,1.7,No,29
INV100128,2026-01-14,Email-PDF,C08,Services,16.4,No,41
INV100129,2026-01-14,EDI,C10,Utilities,3.0,No,26
INV100130,2026-01-14,Portal,C09,Raw materials,3.6,No,26
INV100131,2026-01-14,EDI,C06,Services,9.2,No,35
INV100132,2026-01-14,Email-PDF,C12,MRO,8.4,No,28
INV100133,2026-01-14,Paper-scan,C08,MRO,8.1,Yes,40
INV100134,2026-01-15,Email-PDF,C06,Utilities,6.5,No,23
INV100135,2026-01-15,EDI,C01,MRO,1.7,No,28
INV100136,2026-01-15,Portal,C07,Utilities,2.4,No,22
INV100137,2026-01-15,Email-PDF,C07,MRO,4.6,No,26
INV100138,2026-01-15,Portal,C12,Services,4.2,Yes,46
INV100139,2026-01-15,Paper-scan,C09,Raw materials,9.3,No,27
INV100140,2026-01-15,Portal,C02,Freight,6.5,No,24
INV100141,2026-01-15,Portal,C12,MRO,5.0,No,21
INV100142,2026-01-15,Paper-scan,C10,Freight,8.8,No,28
INV100143,2026-01-15,Email-PDF,C10,Raw materials,9.5,No,31
INV100144,2026-01-15,Paper-scan,C06,Services,10.0,No,38
INV100145,2026-01-15,EDI,C12,Raw materials,3.0,No,36
INV100146,2026-01-15,Paper-scan,C11,Raw materials,13.1,No,23
INV100147,2026-01-15,EDI,C06,Raw materials,1.5,No,28
INV100148,2026-01-15,Portal,C05,Services,8.1,No,32
INV100149,2026-01-15,Portal,C12,MRO,7.0,Yes,36
INV100150,2026-01-15,Portal,C06,Raw materials,4.1,No,24
INV100151,2026-01-15,Portal,C02,Services,14.6,No,33
INV100152,2026-01-15,Paper-scan,C12,Utilities,7.6,No,28
INV100153,2026-01-15,Email-PDF,C10,Raw materials,7.5,Yes,37
INV100154,2026-01-15,Email-PDF,C07,MRO,5.8,No,22
INV100155,2026-01-16,Email-PDF,C09,Services,19.4,No,33
INV100156,2026-01-16,EDI,C11,MRO,2.8,No,29
INV100157,2026-01-16,Portal,C01,MRO,3.9,No,37
INV100158,2026-01-16,Paper-scan,C07,Raw materials,7.1,No,22
INV100159,2026-01-16,Email-PDF,C03,MRO,7.2,No,24
INV100160,2026-01-16,Portal,C11,MRO,5.1,No,25
INV100161,2026-01-16,Portal,C05,Freight,5.2,No,26
INV100162,2026-01-16,Portal,C08,Raw materials,3.5,No,20
INV100163,2026-01-16,Email-PDF,C08,MRO,5.7,No,40
INV100164,2026-01-16,Portal,C06,Services,10.9,No,34
INV100165,2026-01-16,Email-PDF,C12,Freight,7.8,No,23
INV100166,2026-01-16,Email-PDF,C07,MRO,7.2,Yes,35
INV100167,2026-01-16,Paper-scan,C04,Services,14.5,No,36
INV100168,2026-01-16,Email-PDF,C12,Raw materials,7.2,No,26
INV100169,2026-01-16,Email-PDF,C06,MRO,7.6,Yes,28
INV100170,2026-01-19,Portal,C03,Raw materials,2.9,No,24
INV100171,2026-01-19,Paper-scan,C04,Services,9.1,No,38
INV100172,2026-01-19,Portal,C02,Raw materials,5.7,No,24
INV100173,2026-01-19,EDI,C05,Freight,2.8,No,26
INV100174,2026-01-19,Paper-scan,C06,Services,17.5,No,41
INV100175,2026-01-19,EDI,C02,Raw materials,2.9,No,31
INV100176,2026-01-19,EDI,C01,Services,5.3,No,27
INV100177,2026-01-19,EDI,C09,MRO,2.0,No,31
INV100178,2026-01-19,EDI,C02,MRO,2.0,No,33
INV100179,2026-01-19,Paper-scan,C10,Raw materials,12.8,No,33
INV100180,2026-01-19,Email-PDF,C11,Freight,8.5,No,31
INV100181,2026-01-19,EDI,C12,Raw materials,1.3,No,25
INV100182,2026-01-19,Portal,C09,Services,5.1,No,43
INV100183,2026-01-20,Paper-scan,C10,Raw materials,8.9,No,30
INV100184,2026-01-20,EDI,C12,Freight,3.7,No,16
INV100185,2026-01-20,Portal,C01,Services,12.7,No,37
INV100186,2026-01-20,Portal,C03,Raw materials,4.2,No,29
INV100187,2026-01-20,Portal,C09,Utilities,5.2,No,28
INV100188,2026-01-20,Email-PDF,C08,Raw materials,8.0,No,37
INV100189,2026-01-20,Email-PDF,C06,Raw materials,9.7,No,31
INV100190,2026-01-20,Email-PDF,C06,MRO,6.1,Yes,35
INV100191,2026-01-20,Paper-scan,C10,Raw materials,13.4,No,28
INV100192,2026-01-20,Email-PDF,C08,Freight,10.1,No,27
INV100193,2026-01-20,Portal,C02,Utilities,4.2,No,15
INV100194,2026-01-21,EDI,C06,MRO,1.8,No,33
INV100195,2026-01-21,Paper-scan,C07,MRO,11.9,No,26
INV100196,2026-01-21,EDI,C04,MRO,2.4,No,32
INV100197,2026-01-21,Portal,C10,Raw materials,5.1,No,35
INV100198,2026-01-21,Paper-scan,C08,Raw materials,16.3,No,34
INV100199,2026-01-21,Portal,C09,MRO,4.8,No,29
INV100200,2026-01-21,Paper-scan,C02,Raw materials,7.3,Yes,28
INV100201,2026-01-21,Paper-scan,C12,MRO,9.1,No,21
INV100202,2026-01-21,Paper-scan,C08,Utilities,8.5,No,22
INV100203,2026-01-21,EDI,C02,Freight,3.0,No,22
INV100204,2026-01-21,Portal,C06,Raw materials,5.1,Yes,32
INV100205,2026-01-22,Email-PDF,C02,MRO,9.1,Yes,28
INV100206,2026-01-22,EDI,C06,Services,2.9,No,42
INV100207,2026-01-22,Paper-scan,C12,Raw materials,7.0,No,31
INV100208,2026-01-22,Portal,C12,Services,6.7,No,40
INV100209,2026-01-22,Email-PDF,C08,Utilities,5.6,No,18
INV100210,2026-01-22,Portal,C10,MRO,7.0,No,37
INV100211,2026-01-22,EDI,C12,Raw materials,2.5,No,27
INV100212,2026-01-22,Email-PDF,C01,Services,10.8,Yes,51
INV100213,2026-01-22,Portal,C11,Raw materials,2.3,No,34
INV100214,2026-01-22,Email-PDF,C01,MRO,9.9,Yes,31
INV100215,2026-01-22,Portal,C03,Utilities,4.9,No,22
INV100216,2026-01-22,Portal,C03,MRO,3.7,No,24
INV100217,2026-01-23,EDI,C04,Services,7.9,No,44
INV100218,2026-01-23,EDI,C08,Raw materials,1.3,No,25
INV100219,2026-01-23,Paper-scan,C02,MRO,7.5,No,27
INV100220,2026-01-23,Portal,C02,Raw materials,2.9,No,33
INV100221,2026-01-23,Portal,C12,Raw materials,6.5,No,33
INV100222,2026-01-23,Paper-scan,C04,MRO,9.9,Yes,39
INV100223,2026-01-23,Email-PDF,C04,Services,10.7,No,37
INV100224,2026-01-23,Portal,C09,MRO,7.0,No,32
INV100225,2026-01-23,Email-PDF,C06,Freight,5.7,No,27
INV100226,2026-01-23,Portal,C03,MRO,5.3,No,37
INV100227,2026-01-23,Portal,C03,MRO,3.4,Yes,38
INV100228,2026-01-23,Portal,C03,Freight,5.9,No,32
INV100229,2026-01-23,Email-PDF,C06,MRO,6.8,No,35
INV100230,2026-01-23,Email-PDF,C04,Freight,7.6,Yes,34
INV100231,2026-01-23,Portal,C06,Raw materials,5.4,No,25
INV100232,2026-01-23,Portal,C08,Raw materials,12.2,Yes,33
INV100233,2026-01-23,Email-PDF,C12,MRO,13.1,Yes,44
INV100234,2026-01-23,EDI,C07,MRO,2.0,No,26
INV100235,2026-01-23,EDI,C02,MRO,1.4,No,32
INV100236,2026-01-23,Portal,C08,Raw materials,3.7,No,27
INV100237,2026-01-26,Email-PDF,C10,MRO,5.2,No,29
INV100238,2026-01-26,Email-PDF,C02,MRO,10.8,No,29
INV100239,2026-01-26,Email-PDF,C08,MRO,7.5,No,32
INV100240,2026-01-26,Email-PDF,C03,Raw materials,17.0,No,29
INV100241,2026-01-26,Email-PDF,C06,Services,12.1,No,38
INV100242,2026-01-26,Email-PDF,C02,Freight,4.7,No,32
INV100243,2026-01-26,Email-PDF,C09,Raw materials,6.6,No,24
INV100244,2026-01-26,EDI,C05,Services,6.7,No,34
INV100245,2026-01-26,Paper-scan,C01,MRO,8.0,No,26
INV100246,2026-01-26,Portal,C06,Services,9.1,No,35
INV100247,2026-01-26,Portal,C12,Services,7.4,No,38
INV100248,2026-01-26,Paper-scan,C08,Freight,7.7,No,29
INV100249,2026-01-26,Portal,C12,Raw materials,5.1,No,37
INV100250,2026-01-26,Email-PDF,C01,Freight,8.4,No,13
INV100251,2026-01-26,Portal,C02,Freight,4.2,No,21
INV100252,2026-01-26,Portal,C05,Freight,6.9,No,29
INV100253,2026-01-27,Portal,C01,Raw materials,4.7,Yes,24
INV100254,2026-01-27,Portal,C07,Freight,10.1,No,30
INV100255,2026-01-27,EDI,C10,MRO,2.3,No,33
INV100256,2026-01-27,Email-PDF,C07,Services,12.0,No,37
INV100257,2026-01-27,Portal,C07,Raw materials,5.9,No,33
INV100258,2026-01-27,Portal,C10,Raw materials,11.9,No,33
INV100259,2026-01-27,EDI,C09,Raw materials,2.5,No,27
INV100260,2026-01-27,Paper-scan,C08,Raw materials,6.8,No,29
INV100261,2026-01-27,Portal,C11,Utilities,6.7,No,20
INV100262,2026-01-27,Email-PDF,C02,MRO,14.9,No,32
INV100263,2026-01-27,Portal,C12,Freight,3.6,No,36
INV100264,2026-01-27,Portal,C03,Utilities,5.0,No,27
INV100265,2026-01-27,Portal,C01,Raw materials,5.2,No,26
INV100266,2026-01-27,Email-PDF,C08,Services,10.1,No,32
INV100267,2026-01-27,EDI,C04,MRO,2.0,No,27
INV100268,2026-01-27,Email-PDF,C08,Raw materials,10.1,No,30
INV100269,2026-01-27,Paper-scan,C08,Freight,9.3,No,24
INV100270,2026-01-27,Portal,C09,Freight,3.5,No,30
INV100271,2026-01-28,Paper-scan,C04,Freight,9.4,No,26
INV100272,2026-01-28,Email-PDF,C02,Services,9.2,No,37
INV100273,2026-01-28,Email-PDF,C05,Utilities,10.1,No,25
INV100274,2026-01-28,Email-PDF,C02,MRO,4.4,No,29
INV100275,2026-01-28,EDI,C06,Freight,2.5,No,14
INV100276,2026-01-28,Paper-scan,C06,Utilities,6.9,No,13
INV100277,2026-01-28,Email-PDF,C04,Freight,8.1,No,21
INV100278,2026-01-28,Paper-scan,C07,Utilities,9.3,Yes,18
INV100279,2026-01-28,Email-PDF,C01,Freight,8.7,No,28
INV100280,2026-01-28,Portal,C09,Raw materials,4.0,No,26
INV100281,2026-01-29,Email-PDF,C02,Utilities,6.8,No,20
INV100282,2026-01-29,Email-PDF,C10,Services,9.4,No,46
INV100283,2026-01-29,Portal,C11,Utilities,4.1,No,21
INV100284,2026-01-29,Paper-scan,C12,Services,17.0,No,33
INV100285,2026-01-29,Portal,C04,Freight,5.1,No,30
INV100286,2026-01-29,Portal,C07,MRO,7.4,No,25
INV100287,2026-01-29,Portal,C05,Raw materials,4.5,No,29
INV100288,2026-01-29,Email-PDF,C11,MRO,6.6,No,25
INV100289,2026-01-29,Email-PDF,C04,Utilities,5.6,Yes,28
INV100290,2026-01-30,Email-PDF,C08,Raw materials,10.4,Yes,38
INV100291,2026-01-30,EDI,C01,MRO,2.3,No,32
INV100292,2026-01-30,EDI,C10,Freight,4.9,No,22
INV100293,2026-01-30,EDI,C05,Freight,2.7,No,33
INV100294,2026-01-30,EDI,C08,Raw materials,1.6,No,33
INV100295,2026-01-30,EDI,C02,Utilities,1.9,No,23
INV100296,2026-01-30,Portal,C05,Raw materials,7.0,No,34
INV100297,2026-01-30,Paper-scan,C04,MRO,5.3,No,26
INV100298,2026-01-30,Portal,C01,MRO,4.4,No,31
INV100299,2026-01-30,Email-PDF,C01,Services,11.3,No,31
INV100300,2026-01-30,Paper-scan,C07,Utilities,11.0,No,12
INV100301,2026-01-30,Email-PDF,C05,Raw materials,8.6,Yes,41
INV100302,2026-01-30,Paper-scan,C11,MRO,13.0,No,30
INV100303,2026-01-30,Portal,C10,Raw materials,3.9,No,34
INV100304,2026-01-30,Portal,C04,Raw materials,5.7,No,32
INV100305,2026-01-30,Email-PDF,C08,Raw materials,9.9,No,31
INV100306,2026-01-30,EDI,C01,Raw materials,1.2,No,32
INV100307,2026-01-30,EDI,C09,Raw materials,1.5,No,30
INV100308,2026-01-30,Email-PDF,C12,Freight,5.1,No,28
INV100309,2026-02-02,Paper-scan,C03,Raw materials,5.7,No,32
INV100310,2026-02-02,Portal,C11,Raw materials,5.9,No,31
INV100311,2026-02-02,Email-PDF,C01,Raw materials,8.7,No,25
INV100312,2026-02-02,Portal,C05,Utilities,6.2,No,17
INV100313,2026-02-02,Email-PDF,C06,Services,16.8,No,38
INV100314,2026-02-02,Email-PDF,C05,Utilities,11.1,No,16
INV100315,2026-02-02,Email-PDF,C07,Raw materials,8.0,No,28
INV100316,2026-02-02,EDI,C04,Services,2.9,No,35
INV100317,2026-02-02,Email-PDF,C11,Raw materials,5.3,No,34
INV100318,2026-02-02,Paper-scan,C01,Raw materials,7.9,No,28
INV100319,2026-02-02,Paper-scan,C05,Raw materials,8.6,No,29
INV100320,2026-02-02,Paper-scan,C09,MRO,13.3,No,32
INV100321,2026-02-03,Portal,C06,Utilities,4.1,No,26
INV100322,2026-02-03,Portal,C11,Raw materials,4.5,No,26
INV100323,2026-02-03,Portal,C11,Raw materials,5.5,No,30
INV100324,2026-02-03,Email-PDF,C10,Freight,10.1,No,31
INV100325,2026-02-03,EDI,C10,Raw materials,3.0,No,30
INV100326,2026-02-03,Email-PDF,C12,Freight,7.5,No,26
INV100327,2026-02-03,Paper-scan,C07,Services,16.0,No,35
INV100328,2026-02-03,Paper-scan,C07,Raw materials,7.2,No,35
INV100329,2026-02-03,Paper-scan,C10,MRO,10.0,No,33
INV100330,2026-02-03,Portal,C01,Utilities,5.6,No,17
INV100331,2026-02-03,EDI,C01,Freight,2.9,No,25
INV100332,2026-02-03,EDI,C04,Services,3.8,No,40
INV100333,2026-02-03,Email-PDF,C02,Utilities,4.7,No,24
INV100334,2026-02-04,Paper-scan,C07,Raw materials,9.7,No,29
INV100335,2026-02-04,Paper-scan,C04,MRO,8.4,No,34
INV100336,2026-02-04,Email-PDF,C02,Raw materials,5.1,No,28
INV100337,2026-02-04,Paper-scan,C07,MRO,9.1,No,33
INV100338,2026-02-04,Portal,C02,Services,8.8,No,39
INV100339,2026-02-04,Portal,C02,Utilities,5.2,No,19
INV100340,2026-02-04,Email-PDF,C08,MRO,9.6,No,40
INV100341,2026-02-04,Email-PDF,C08,MRO,6.3,No,31
INV100342,2026-02-05,EDI,C12,Utilities,2.7,No,16
INV100343,2026-02-05,EDI,C03,Raw materials,0.9,No,24
INV100344,2026-02-05,Portal,C08,Services,7.9,No,33
INV100345,2026-02-05,Paper-scan,C04,MRO,7.1,No,30
INV100346,2026-02-05,Portal,C01,Raw materials,7.0,No,24
INV100347,2026-02-05,Email-PDF,C04,MRO,7.6,No,31
INV100348,2026-02-05,Portal,C02,MRO,6.4,No,29
INV100349,2026-02-05,Portal,C03,Services,9.2,No,43
INV100350,2026-02-05,Portal,C12,Freight,6.9,No,31
INV100351,2026-02-05,Portal,C12,Raw materials,4.9,No,28
INV100352,2026-02-05,EDI,C01,Services,,No,39
INV100353,2026-02-06,EDI,C12,Freight,4.3,No,13
INV100354,2026-02-06,Portal,C01,MRO,5.9,No,34
INV100355,2026-02-06,EDI,C09,Raw materials,1.9,No,26
INV100356,2026-02-06,EDI,C04,Raw materials,1.6,No,32
INV100357,2026-02-06,Portal,C03,Raw materials,3.8,No,27
INV100358,2026-02-06,Paper-scan,C09,Raw materials,6.9,No,26
INV100359,2026-02-06,Portal,C07,Raw materials,4.5,No,22
INV100360,2026-02-06,Email-PDF,C08,MRO,5.1,No,38
INV100361,2026-02-06,Email-PDF,C10,Raw materials,7.5,No,24
INV100362,2026-02-06,EDI,C05,Utilities,2.7,No,17
INV100363,2026-02-06,Portal,C08,Raw materials,6.4,No,28
INV100364,2026-02-06,Email-PDF,C03,Utilities,6.2,No,25
INV100365,2026-02-06,Paper-scan,C12,Utilities,6.6,No,18
INV100366,2026-02-06,Portal,C09,Raw materials,4.4,No,28
INV100367,2026-02-06,Paper-scan,C12,MRO,6.6,No,25
INV100368,2026-02-06,Email-PDF,C03,MRO,9.9,No,29
INV100369,2026-02-06,Portal,C01,MRO,4.9,No,22
INV100370,2026-02-06,Portal,C01,MRO,3.8,No,27
INV100371,2026-02-06,Email-PDF,C05,MRO,4.6,No,26
INV100372,2026-02-09,Email-PDF,C05,Raw materials,3.5,Yes,23
INV100373,2026-02-09,Paper-scan,C11,Services,11.9,No,36
INV100374,2026-02-09,EDI,C12,Raw materials,1.6,No,28
INV100375,2026-02-09,Portal,C02,MRO,6.2,No,30
INV100376,2026-02-09,EDI,C02,Raw materials,2.3,No,22
INV100377,2026-02-09,Email-PDF,C08,Raw materials,10.3,No,23
INV100378,2026-02-09,Portal,C10,MRO,5.8,No,37
INV100379,2026-02-09,Email-PDF,C09,Raw materials,5.4,No,21
INV100380,2026-02-09,Email-PDF,C09,Raw materials,9.8,Yes,39
INV100381,2026-02-09,EDI,C03,Raw materials,1.5,No,28
INV100382,2026-02-09,Portal,C10,MRO,3.5,No,29
INV100383,2026-02-09,Portal,C05,MRO,6.1,No,29
INV100384,2026-02-09,Portal,C10,Raw materials,5.1,No,32
INV100385,2026-02-09,Email-PDF,C07,Raw materials,12.9,Yes,36
INV100386,2026-02-09,Paper-scan,C10,Raw materials,5.3,Yes,31
INV100387,2026-02-09,EDI,C09,Raw materials,1.3,No,31
INV100388,2026-02-09,Email-PDF,C12,Services,7.5,No,35
INV100389,2026-02-09,Email-PDF,C09,Raw materials,10.7,Yes,30
INV100390,2026-02-09,Paper-scan,C06,Utilities,7.0,No,24
INV100391,2026-02-09,Email-PDF,C03,Raw materials,7.1,No,32
INV100392,2026-02-10,Email-PDF,C05,MRO,4.0,No,29
INV100393,2026-02-10,EDI,C06,Services,5.6,No,36
INV100394,2026-02-10,Email-PDF,C07,MRO,6.8,Yes,35
INV100395,2026-02-10,Email-PDF,C06,Raw materials,7.6,No,32
INV100396,2026-02-10,Portal,C10,Raw materials,8.6,No,30
INV100397,2026-02-10,Portal,C10,Freight,4.0,No,27
INV100398,2026-02-10,Email-PDF,C08,Services,10.4,No,32
INV100399,2026-02-10,Paper-scan,C08,Freight,8.7,No,21
INV100400,2026-02-10,EDI,C02,Raw materials,2.4,No,28
INV100401,2026-02-10,Portal,C03,Raw materials,6.4,No,31
INV100402,2026-02-10,Portal,C08,Freight,6.3,No,27
INV100403,2026-02-10,EDI,C08,MRO,3.0,No,23
INV100404,2026-02-10,Email-PDF,C05,Raw materials,9.2,No,29
INV100405,2026-02-10,Paper-scan,C11,Utilities,8.2,No,27
INV100406,2026-02-10,Portal,C08,Freight,9.2,No,24
INV100407,2026-02-10,EDI,C10,MRO,2.0,No,28
INV100408,2026-02-10,EDI,C07,MRO,2.3,No,33
INV100409,2026-02-10,Portal,C09,MRO,4.0,No,25
INV100410,2026-02-10,Email-PDF,C04,MRO,8.3,NO,27
INV100411,2026-02-10,EDI,C09,Services,5.5,No,38
INV100412,2026-02-11,Portal,C05,Raw materials,6.8,No,31
INV100413,2026-02-11,EDI,C03,Raw materials,3.0,No,35
INV100414,2026-02-11,Email-PDF,C09,Raw materials,5.1,Yes,34
INV100415,2026-02-11,Email-PDF,C03,MRO,7.1,No,36
INV100416,2026-02-11,Portal,C10,MRO,5.0,No,29
INV100417,2026-02-11,Email-PDF,C02,Freight,10.4,No,27
INV100418,2026-02-11,Portal,C08,Raw materials,7.9,No,27
INV100419,2026-02-11,Portal,C08,Raw materials,3.8,No,21
