invoice_id,date,entry_channel,clerk_code,vendor_group,entry_minutes,corrected,days_to_pay
INV200172,2026-08-18,EDI,C03,Utilities,1.3,No,
INV200173,2026-08-18,Email-PDF,C10,Utilities,5.5,No,
INV200174,2026-08-18,Portal,C06,Raw materials,4.7,No,
INV200175,2026-08-18,Email-PDF,C02,MRO,8.0,No,
INV200176,2026-08-18,Email-PDF,C12,Services,10.2,No,
INV200177,2026-08-18,Portal,C06,Raw materials,5.9,No,
INV200178,2026-08-18,Paper-scan,C09,Utilities,7.7,No,
INV200179,2026-08-18,EDI,C11,Raw materials,3.2,No,
INV200180,2026-08-18,Email-PDF,C04,Raw materials,4.4,No,
INV200181,2026-08-18,Email-PDF,C11,Raw materials,3.7,No,
INV200182,2026-08-19,Paper-scan,C04,MRO,5.6,No,
INV200183,2026-08-19,Portal,C01,MRO,3.7,No,
INV200184,2026-08-19,Portal,C02,MRO,3.8,No,
INV200185,2026-08-19,Portal,C12,Services,8.0,No,
INV200186,2026-08-19,Portal,C11,MRO,3.9,No,
INV200187,2026-08-19,Portal,C11,Raw materials,4.7,No,
INV200188,2026-08-19,Paper-scan,C08,MRO,5.9,Yes,
INV200189,2026-08-19,Email-PDF,C09,MRO,6.1,No,
INV200190,2026-08-20,Portal,C04,Raw materials,6.7,No,
INV200191,2026-08-20,Paper-scan,C11,Raw materials,8.2,No,
INV200192,2026-08-20,Email-PDF,C10,Raw materials,4.1,No,
INV200193,2026-08-20,Portal,C12,Raw materials,3.9,No,
INV200194,2026-08-20,Email-PDF,C07,MRO,4.1,No,
INV200195,2026-08-20,EDI,C12,Raw materials,2.6,No,
INV200196,2026-08-20,EDI,C08,Services,5.7,No,
INV200197,2026-08-20,Portal,C01,Raw materials,3.7,No,
INV200198,2026-08-20,Portal,C06,Raw materials,3.8,No,
INV200199,2026-08-20,Email-PDF,C09,Raw materials,8.9,No,
INV200200,2026-08-20,Email-PDF,C05,Freight,7.3,No,
INV200201,2026-08-20,Portal,C11,Raw materials,3.4,No,
INV200202,2026-08-20,Email-PDF,C08,Freight,8.8,No,
INV200203,2026-08-20,Portal,C08,Utilities,3.4,No,
INV200204,2026-08-20,Email-PDF,C07,MRO,5.1,No,
INV200205,2026-08-20,Portal,C08,Raw materials,2.7,No,
INV200206,2026-08-20,Portal,C01,MRO,5.3,Yes,
INV200207,2026-08-20,EDI,C12,MRO,3.1,No,
INV200208,2026-08-20,EDI,C03,Raw materials,1.9,No,
INV200209,2026-08-20,Portal,C01,MRO,5.3,No,
INV200210,2026-08-20,Portal,C12,Services,7.3,No,
INV200211,2026-08-20,EDI,C06,MRO,2.1,No,
INV200212,2026-08-20,Email-PDF,C09,Utilities,6.1,No,
INV200213,2026-08-20,Portal,C11,Utilities,3.0,No,
INV200214,2026-08-20,Portal,C04,Raw materials,4.3,No,
INV200215,2026-08-21,Portal,C05,MRO,4.1,No,
INV200216,2026-08-21,EDI,C05,MRO,1.2,No,
INV200217,2026-08-21,EDI,C02,Freight,1.6,No,
INV200218,2026-08-21,Portal,C12,Raw materials,4.8,No,
INV200219,2026-08-21,Email-PDF,C01,Raw materials,4.7,No,
INV200220,2026-08-21,Paper-scan,C01,Raw materials,5.8,No,
INV200221,2026-08-21,Portal,C06,Utilities,6.9,No,
INV200222,2026-08-21,Email-PDF,C12,MRO,9.1,No,
INV200223,2026-08-21,Portal,C09,Raw materials,4.9,No,
INV200224,2026-08-21,Email-PDF,C08,Services,10.1,No,
INV200225,2026-08-21,EDI,C10,Utilities,1.2,No,
INV200226,2026-08-21,Portal,C11,Services,11.9,No,
INV200227,2026-08-21,EDI,C06,Raw materials,2.1,No,
INV200228,2026-08-21,Portal,C06,MRO,5.2,No,
INV200229,2026-08-21,Portal,C08,Services,5.1,No,
INV200230,2026-08-21,Portal,C04,Raw materials,2.4,No,
